No.,Tanggal Iklan,URL,Harga,Kota,LT (m²),LB (m²),KT,KM,KTP,KMP,Carport,Garasi,Listrik,Surat,Judul,Deskripsi
84,3 Januari 2020,https://www.rumah123.com/properti/lombok-barat/hos5843811/,Rp. 4.500.000.000,"Senggigi, Lombok Barat",725,305,4,3,0,0,0,1,0,SHM,House / villa with Italian style in Bukit Tohano Kerandangan near Senggigi,"This beautiful modern villa of Italian inspiration is located in the Kerandangan Valley, 1,5 km inland from Senggigi's main road, in the exclusive Bukit Tohano Development, near the Forest Reserve, 52 m above sea level. The ground floor of the villa is on split levels. The staircase, designed by an Italian architect, is unique in Lombok. The sale of a house of this type, which only happens once in a while, is good for investment, for moving away from polluted and crowded areas, for retirement, for holiday and for nature's lovers. Architect designed and built in 2018, the house has no structural timber. Specifications: Land area: 725 m2 House area: 305 m2 Certificate: Freehold Title Price: IDR 4,5 Million Details: 4 large fully furnished bedrooms 3 modern fully tiled bathrooms Kitchen 32 m2 (extensive stainless steel covering in kitchen and laundry) Enclosed garage 24 m2 with working bench Architect designed steel staircase Fire and termites proof construction Roof rainwater collected 8 CCTV 4 cars parkings"
85,7 April 2021,https://www.rumah123.com/properti/lombok-barat/hos8135420/,Rp. 6.800.000.000,"Pemenang, Lombok Barat",150,135,1,2,0,0,0,1,4400,SHM,Villa Gilitrawang type 135 Lombok NTB,"Punya hunian di depan pantai ? Siapa yang gak mau sih ? Sudah investasinya aman, harga sudah include furniture, bisa di sewakan, dapat passive income per tahun, cepat kembali modal , bisa jalan jalan gratis kemanapun di dunia? 25% DISKON untuk Makanan & Minuman, Pemesanan Cocana Resorts (Termasuk Cocana Nusa Dua) selama 5 tahun Kelas Yoga & meditasi gratis Akses gratis ke pusat kebugaran berteknologi tinggi Akses gratis ke Cocana Kids Club Transfer perahu gratis ke & dari Senggigi Semua penawaran dan ketentuan 100% dapat dialihkan Keanggotaan Koleksi Registri * Unit Lengkap, Terbatas *"
86,2 April 2021,https://www.rumah123.com/properti/karangasem/hos8114492/,Rp. 9.660.000.000,"Candi Dasa, Karangasem",858,450,4,4,0,0,0,1,5500,SHM,Absolute modern Villa in Candidasa Karangasem,"Absolute Beachfront Moder Villa in East Coast Contemporary and clean and bathed in white, the gorgeous, this four-bedroom has a simply stunning location on the waters edge, blessed with picture-perfect ocean views looking out over the Lombok Strait to the neighbouring islands of Nusa Penida and Lembongan. The villa is located in central of Candidasa Village and only 1hour 30 minutes drive from International Airport. It is easy access to restaurants, shops, warung and facilities in the area. land size 858 sqm Building size around 450 sqm 4 bedrooms each (with shower and bathtub) bathroom Living and dining area Big Staff office Pool and jacuzzi Very nice garden Direct private access to the Ocean Parking 2 entrances : staff and main Freehold Furnished codrst Price USD690,000 nego $1= Rp.14.000 =Rp. 9.660M"
87,1 April 2021,https://www.rumah123.com/properti/lombok-utara/hos8111412/,Rp. 6.800.000.000,"Gili Trawangan, Lombok Utara",300,178,2,2,0,0,0,0,2200,"PPJB, Girk, Adat, dll",2 BEDROOMS BEACHFRONT VILLA AT GILI TRAWANGAN NTB,VILLA jual dijual Jalan Pantai Gili Trawangan 2 Bedrooms Beachfront Villa at Gili Trawangan NTB LOMBOK UTARA GILI TRAWANGAN
88,1 Maret 2021,https://www.rumah123.com/properti/lombok-barat/hos7977597/,Rp. 10.000.000.000,"Batu Layar, Lombok Barat",3400,600,4,4,0,0,0,1,0,SHM,Villa pinggir pantai Montong dengan kolam renang pribadi - Lombok Barat,"Villa pinggir pantai Montong dengan kolam renang pribadi - Lombok Barat View pantai dan sunset Luas tanah 3.400 m2 Luas bangunan 600 m2 4 kamar tidur 4 kamar mandi Kolam renang ukuran 4 x 17 meter Pool Lounge Dining room, gymroom, audioroom Kitchenette AC, wi-fi BBQ set Halaman depan dan belakang masih luas untuk dikembangkan Harga Rp. 10 Milyar"
89,26 Februari 2021,https://www.rumah123.com/properti/lombok-barat/hos7966104/,Rp. 6.000.000.000,"Pemenang, Lombok Barat",600,600,5,6,0,0,0,0,11000,HGB,Gili Exotic Villa. Villa Gili Trawangan,"Villa Dijual Lombok Barat Gili Exotic Villas. Villa Gili Trawangan berada di dusun Gili Trawangan, kecamatan Pemenang, Lombok Utara, NTB. Villa yang super lux istimewa, dengan fasilitas swimmingpool, dining room, main kitchen, full AC setiap ruangan, jogging track, dekat wisata pantai yg exotic tujuan para wisatawan. Sebelum ada pandemi dulu villa ini biasa disewa Cucu P Soeharto Presiden, anak Bambang dan. Maia Estanty bersama anak2 dan suaminya juga wisatawan asing. Mereka ke Gili Trawangan karena wisata/ snowkling terumbu karang nya bagus di sana, honeymoon, dan alam yang indah dan alami."
90,9 November 2020,https://www.rumah123.com/properti/lombok-barat/hos7533358/,Rp. 7.000.000.000,"Senggigi, Lombok Barat",2200,500,6,3,0,0,0,0,7600,SHM,RUMAH MEWAH DAN NYAMAN PERPADUAN 2 UNSUR KEBUDAYAAN DI LOMBOK BARAT.,"Rumah Dijual Lombok Barat ADA KOLAM RENANG 500M2, 2 GAZEBO, CARPORT. DEKAT JALAN RAYA SENGGIGI, -/+ 10 MENIT K SENGGIGI DAN MATARAM MALL."
91,20 September 2020,https://www.rumah123.com/properti/lombok-tengah/hos7333828/,Rp. 8.000.000.000,"Pujut, Lombok Tengah",2000,500,4,4,0,0,0,0,5500,SHM,Villa Luas Terawat S&#39; Pool Kuta Pujut Lombok Tengah NTB,"Dijual vila lux luas sangat terawat furnished di Kuta Lombok Tengah. Lokasi dekat Kies Villa Kuta Lombok. Lingkungan villa dan cafe.

LT 2.000
LB 500
KT 4
Km 4
Kitchen set by Metric
Furnished
Kolam renang
SHM
Harga Rp 8 M nego

selling point'

Dekat Kies Villa Lombok
Dekat Villa - Villa prestisius dan Cafe
View Bagus
Best Investment

info Hub
Yuni Dyaz WA 089647528786
Hp"
92,24 Juli 2020,https://www.rumah123.com/properti/lombok-utara/hos7006999/,Rp. 8.500.000.000,"Gili Air, Lombok Utara",650,532,5,4,0,1,0,0,0,SHM,"PROFIT FANTASTIS!! Villa Komplek di Gili, Lombok, 350 mtr ke Pantai","Terletak hanya 350 meter dari Pantai dan dekat dengan beberapa restoran, cafe dan toko.

Resort ini memiliki tanah SHM seluas 650 m2 yang terdiri dari 3 x villa tipe 1 kamar yang dilengkapi dengan kamar tidur, kamar mandi, dan teras menghadap kolam renang pribadi, dan 1 x villa tipe 2 kamar yang dilengkapi dengan 2 kamar tidur, kamar mandi, dapur, ruang tamu/ ruang makan, kolam renang pribadi dan tempat berjemur.

Resort ini juga menyediakan reception, kamar staff kamar mandi, dapur, ruang laundry, 2 x gudang, dan WiFi fiber optic.

Resort ini merupakan investasi yang ideal untuk secara eksklusif bisnis yang sudah berjalan dengan baik dengan menyewakan semua villa atau campuran dari bisnis dan rumah pribadi, sejak villa 2 kamar ini didesain sebagai rumah pribadi tetapi juga bisa disewakan untuk memaksimalkan keuntungan."
93,18 Juli 2020,https://www.rumah123.com/properti/lombok-barat/hos6959613/,Rp. 5.500.000.000,"Batu Layar, Lombok Barat",583,600,3,3,0,0,0,1,0,SHM,Villa 2 lantai dan isinya di Senggigi Batulayar Lombok barat V028,"Dijual Villa 2 lantai dan isinya di Senggigi Batulayar Lombok barat

Lokasi : Jl. Wisata Alam, Bukit Tohano Senggigi

Luas: Bangunan 600 M2 / Tanah 583 M2

Harga : Rp. 5.500.000.000/global

Keterangan : Villa 2 lantai dan isinya di Senggigi Batulayar Lombok barat. Terdiri dari 3 kamar tidur, 2 kamar mandi dengan bath tub hair dryer, 1 kamar mandi tanpa bath tub. Dapur dengan kitchen set all furnished. Setiap kamar dilengkapi AC, water heater dan TV.

Dengan fasilitas tambahan yaitu private gym dan private swimming pool. Lokasi nyaman dan asri dengan view bukit yang indah. Sertifikat HGB sedang dalam proses ke SHM."
